CASE,REF,DV01_01,DV01_02,DV01_03,DV01_04,DV01_05,DV01_06,DV01_07,DV01_08,DV01_09,DV01_10,DV01_11,DV01_12,DV01_13,DV01_14,DV02_01,DV02_02,DV02_03,DV02_04,DV02_05,DV02_06,DV03_01,DV04_01,DV04_02,DV04_03,DV04_04,DV04_05,DV04_06,DV04_07,DV04_08,DV04_09,DV04_10,DV04_11,DV04_12,MV01_01,MV01_02,MV01_03,MV01_04,MV01_05,MV01_06,MV01_07,MV01_08,MV01_09,MV01_10,MV01_11,MV01_12,MV01_13,MV01_14,occupational_status,academic_discipline,IV01_CP,condition,CV01_01,CV01_02,CV01_03,CV01_04,CV01_05,CV01_06,CV01_07,CV01_08,CV01_09,CV01_10,CV02_01,CV02_02,CV02_03,CV02_04,CV02_05,PES_exp,CV03_01,CV03_02,CV03_03,CV03_04,CV03_05,CV03_06,CV03_07,CV03_08,CV03_09,CV03_10,CV03_11,CV03_12,CV03_13,CV03_14,CV03_15,CV04,CV04_01,CV04_02,CV04_03,CV04_04,CV05,veganism,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME,longstring,expertise,integritybenevolence,METI,credibility,eval,att,neutr,PES_freq
255,fbg,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,6,5,4,2,3,4,3,3,2,3,2,3,1,2,2,6,5,5,6,6,4,5,6,5,6,4,3,3,6,working_with_degree,other,48,affected,5,6,5,5,3,5,6,3,5,5,5,2,2,5,5,11,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,not vegan,52,168,24,62,24,NA,74,121,105,88,78,69,31,312,9,676,12,5.166666666666667,5,5.071428571428571,4.428571428571429,2.5,5,5.25,3.8
256,fbg,4,4,4,4,4,4,5,5,4,4,3,4,4,3,4,3,4,3,5,3,3,4,1,4,4,4,3,2,4,2,1,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,university student,social_sciences,48,not affected,2,2,2,2,2,4,5,5,4,4,3,1,1,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,vegan,44,8,19,35,13,NA,28,30,46,44,8,62,10,81,22,295,14,4,4,4,3.5714285714285716,2.8333333333333335,6,2,2
258,fbg,5,5,4,6,4,5,6,6,4,4,4,4,4,4,5,4,6,3,3,4,5,1,3,3,2,2,2,3,2,3,4,3,3,4,4,3,4,4,1,3,4,4,3,3,2,4,6,working_with_degree,other,49,not affected,5,4,4,4,3,5,5,3,3,3,2,1,1,2,2,4,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,not vegan,24,9,21,37,10,NA,43,43,53,81,9,51,12,80,5,360,6,4.833333333333333,4.5,4.642857142857143,4.285714285714286,2.5833333333333335,3.5,4.25,1.6
263,fbg,6,5,5,4,5,2,6,2,5,6,6,4,5,2,5,3,6,4,3,5,5,1,3,4,3,2,3,2,2,1,1,2,2,6,5,5,6,5,2,5,5,6,5,6,4,5,2,university student,social_sciences,50,not affected,4,5,5,5,3,6,5,2,5,3,4,1,4,4,4,6,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,not vegan,4,6,21,46,38,7,35,37,116,47,8,57,9,66,12,421,4,4.5,4.5,4.5,4.428571428571429,2.1666666666666665,4.785714285714286,4.75,3.4
264,fbg,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,3,3,4,4,3,5,5,2,5,4,3,3,4,2,3,3,working_with_degree,social_sciences,50,affected,4,4,4,4,4,4,5,4,5,4,4,3,3,4,5,11,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,not vegan,2,3,14,42,21,36,25,30,47,44,4,17,11,79,8,291,11,4.166666666666667,4,4.071428571428571,3.4285714285714284,3.3333333333333335,3.5714285714285716,4,3.8
274,fbg,6,5,5,5,6,6,5,6,5,5,5,5,5,5,5,4,5,5,5,6,4,3,3,5,3,4,4,4,3,3,2,3,2,6,4,5,4,4,5,4,6,4,5,5,4,6,4,working_with_degree,other,52,not affected,2,5,2,3,3,5,5,4,2,5,4,2,4,5,4,8,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,not vegan,4,4,4,88,44,NA,31,39,104,84,9,67,16,132,6,486,7,5.5,5.125,5.285714285714286,4.857142857142857,3.25,4.714285714285714,3,3.8
275,fbg,6,6,6,4,3,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,2,2,4,2,3,2,2,1,3,1,1,2,6,6,6,6,6,6,6,6,6,6,6,5,6,6,university student,social_sciences,52,affected,3,2,3,3,4,6,6,5,4,3,3,2,2,3,2,6,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,not vegan,14,18,30,34,18,NA,35,58,73,88,10,31,23,133,12,400,11,5.166666666666667,6,5.642857142857143,5.428571428571429,2.0833333333333335,5.928571428571429,2.75,2.4
276,fbg,4,5,4,3,4,2,3,4,4,5,5,5,5,5,3,3,4,3,6,4,4,1,3,4,2,3,3,5,3,4,5,1,2,6,6,5,6,6,4,4,4,6,6,6,6,5,6,working_with_degree,social_sciences,53,affected,3,2,2,4,5,5,5,4,5,5,4,4,4,4,4,7,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,not vegan,22,16,30,71,40,41,77,80,100,64,11,103,20,104,27,637,5,3.6666666666666665,4.5,4.142857142857143,3.857142857142857,3,5.428571428571429,2.75,4
279,fbg,4,5,6,5,5,6,6,6,5,4,6,6,6,6,5,1,5,4,5,4,5,2,2,5,1,3,3,1,2,2,1,1,2,6,6,3,1,6,5,2,3,6,6,4,2,6,2,university student,social_sciences,54,affected,2,3,3,3,2,5,6,3,6,3,5,5,3,5,5,10,2,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,not vegan,1858,5,7,29,28,NA,33,59,59,57,8,171,9,114,7,460,5,5.166666666666667,5.625,5.428571428571429,4.142857142857143,2.0833333333333335,4.142857142857143,2.75,4.6
291,fbg,1,2,1,1,2,2,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,4,3,4,2,2,3,2,2,2,1,2,2,4,2,5,5,4,1,5,6,5,1,1,1,2,6,university student,social_sciences,54,not affected,5,5,5,6,4,5,6,4,5,5,5,2,2,5,4,8,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,not vegan,24,22,13,37,12,NA,23,33,35,122,5,31,8,63,104,319,7,1.5,2.5,2.0714285714285716,1,2.4166666666666665,3.4285714285714284,5.25,3.6
294,fbg,4,4,4,5,5,5,4,5,4,4,4,4,4,4,3,3,3,4,4,3,4,4,2,2,2,5,3,3,4,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,working_with_degree,social_sciences,55,not affected,4,4,5,5,4,4,4,3,4,4,4,2,3,4,3,11,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,vegan,17,21,32,108,45,NA,91,90,141,66,22,51,23,244,39,669,14,4.5,4.125,4.285714285714286,3.4285714285714284,2.9166666666666665,6,4.5,3.2
295,fbg,4,5,6,2,5,5,6,6,5,5,6,6,5,6,6,4,3,1,6,3,6,1,1,3,1,6,3,6,2,4,2,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,working_with_degree,social_sciences,55,affected,5,3,4,5,4,5,6,2,5,4,3,4,4,3,4,7,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,not vegan,57,8,24,57,32,NA,100,102,114,55,10,79,19,197,40,592,13,4.5,5.625,5.142857142857143,4.142857142857143,3,5.785714285714286,4.25,3.6
298,fbg,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,3,2,4,4,3,5,4,3,4,3,5,4,5,5,3,3,2,2,1,3,1,1,1,1,3,2,2,1,1,2,university student,social_sciences,56,not affected,3,2,2,3,2,6,6,1,5,2,4,2,4,4,4,8,1,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,1,1,2,not vegan,34,8,69,102,71,64,80,126,133,121,29,29,12,151,12,836,6,5,4.125,4.5,3.5714285714285716,3.9166666666666665,1.6428571428571428,2.5,3.6
299,fbg,5,6,6,6,4,6,5,4,4,4,5,5,6,5,4,4,4,4,4,4,5,3,3,5,4,4,3,2,3,3,2,2,3,6,5,6,5,6,4,6,6,6,4,6,4,4,2,university student,social_sciences,56,affected,4,4,4,3,4,5,5,4,4,4,1,1,1,3,3,6,1,1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,not vegan,3,3,33,76,14,NA,48,46,240,66,8,112,10,146,11,653,6,5.5,4.75,5.071428571428571,4.142857142857143,3.0833333333333335,5,3.75,1.8
303,fbg,5,6,6,5,5,5,6,6,5,6,6,6,6,6,5,5,6,5,6,6,5,1,1,2,2,1,1,1,1,1,1,1,1,6,6,6,6,4,3,6,1,6,6,6,6,6,6,university student,social_sciences,57,affected,4,2,2,2,6,5,6,4,6,6,3,3,4,3,3,7,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,not vegan,36,12,20,41,27,NA,38,42,47,50,13,14,21,154,12,313,8,5.333333333333333,5.875,5.642857142857143,5.428571428571429,1.1666666666666667,5.285714285714286,2.5,3.2
305,fbg,4,5,6,5,6,4,4,4,4,3,6,6,6,6,4,3,4,5,3,4,4,2,3,4,2,5,4,3,3,5,3,4,4,6,4,4,5,4,6,4,4,5,2,5,1,3,4,working_with_degree,social_sciences,58,affected,5,5,4,4,4,6,6,3,4,5,3,2,3,4,4,7,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,not vegan,14,5,2,62,20,NA,57,44,72,66,6,79,16,114,42,424,5,5,4.875,4.928571428571429,3.857142857142857,3.5,4.071428571428571,4.5,3.2
306,fbg,3,4,4,3,3,3,4,4,4,4,3,3,4,4,3,1,3,3,1,3,4,5,5,4,3,5,5,5,3,5,4,6,4,6,6,6,6,6,4,6,6,6,6,6,6,6,6,working_without_degree,NA,59,not affected,3,4,3,4,4,4,5,3,5,4,4,2,3,4,4,8,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,vegan,17,19,21,45,21,NA,90,77,100,51,8,110,20,109,43,543,8,3.3333333333333335,3.75,3.5714285714285716,2.5714285714285716,4.5,5.857142857142857,3.5,3.4
310,fbg,4,4,5,4,4,4,5,6,5,4,5,5,5,2,4,5,5,5,3,6,4,2,3,4,4,2,3,3,2,2,2,2,2,4,4,3,5,5,4,5,2,4,4,4,2,5,4,university student,social_sciences,60,not affected,3,3,2,4,4,5,6,3,5,5,4,2,3,5,4,12,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,not vegan,37,5,17,40,28,NA,29,37,47,44,9,20,9,72,16,280,6,4.166666666666667,4.625,4.428571428571429,4.571428571428571,2.5833333333333335,3.9285714285714284,3,3.6
311,fbg,2,3,3,2,2,2,4,5,4,4,4,4,4,4,2,1,2,1,1,2,2,4,4,3,2,5,5,5,2,5,3,2,6,6,6,4,6,6,5,3,5,6,5,6,6,6,6,working_with_degree,social_sciences,61,not affected,6,5,5,5,4,6,6,4,5,4,5,5,5,5,5,11,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,vegan,25,9,38,39,20,NA,52,41,65,56,12,63,15,95,9,401,6,2.3333333333333335,4.125,3.357142857142857,1.5714285714285714,3.8333333333333335,5.428571428571429,5.25,5
313,fbg,6,6,5,5,5,6,6,6,4,4,5,5,5,4,5,4,6,5,5,5,5,2,3,2,2,2,2,2,2,2,1,3,2,6,5,5,6,5,2,6,5,5,5,5,4,6,6,university student,social_sciences,62,not affected,4,5,3,4,3,5,6,3,5,3,1,2,3,4,3,4,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,not vegan,3,13,5,69,28,26,43,34,71,65,10,40,11,169,6,402,7,5.5,4.875,5.142857142857143,5,2.0833333333333335,5.071428571428571,4,2.6
314,fbg,5,4,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,3,3,6,5,2,3,4,2,4,3,2,3,3,3,3,1,5,5,4,5,5,3,4,5,5,4,5,2,3,4,university student,social_sciences,62,affected,6,5,5,5,3,6,5,3,5,5,4,3,4,4,5,11,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,not vegan,26,4,40,90,25,NA,131,87,90,110,10,105,17,150,13,705,5,4.666666666666667,4.75,4.714285714285714,4.571428571428571,2.75,4.214285714285714,5.25,4
315,fbg,6,6,5,4,5,4,5,6,5,5,2,6,6,6,4,5,5,4,3,6,4,1,2,5,3,2,3,3,2,2,1,1,1,4,3,4,6,5,1,5,4,4,2,4,1,5,6,university student,humanities,63,not affected,5,2,5,2,4,5,6,2,6,5,4,2,5,4,1,7,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,not vegan,68,9,19,58,29,NA,49,39,47,62,13,40,10,85,14,366,4,5,5.125,5.071428571428571,4.428571428571429,2.1666666666666665,3.857142857142857,3.5,3.2
320,fbg,5,5,5,5,5,5,6,6,5,5,5,5,5,6,6,5,6,4,6,6,5,1,1,1,1,1,1,1,1,2,1,1,1,5,5,6,6,5,4,5,6,6,4,5,1,6,6,university student,social_sciences,64,not affected,4,5,5,4,4,6,6,4,6,5,2,1,2,3,2,8,1,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,2,not vegan,4,4,18,70,37,63,33,30,43,53,9,53,11,127,8,420,8,5,5.375,5.214285714285714,5.428571428571429,1.0833333333333333,5,4.5,2
322,fbg,4,5,5,3,2,3,4,4,4,4,4,4,5,5,4,5,4,3,1,5,4,4,2,3,2,4,4,2,6,2,4,3,6,6,5,1,5,6,5,5,6,6,5,6,5,6,6,university student,social_sciences,64,affected,5,4,3,3,4,4,5,4,5,5,2,4,3,4,3,9,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,not vegan,16,5,5,86,38,15,69,60,41,69,13,20,12,119,10,428,6,3.6666666666666665,4.25,4,3.7142857142857144,3.5,5.214285714285714,3.75,3.2
328,fbg,3,4,6,2,6,3,3,5,3,3,5,4,4,4,3,3,3,3,4,3,2,2,3,2,2,2,3,3,2,2,2,2,2,5,3,6,3,5,2,5,6,2,4,4,1,3,3,working_with_degree,natural_sciences,66,affected,6,5,6,6,4,5,6,4,6,4,3,4,3,4,3,7,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,not vegan,717,6,31,82,34,NA,77,148,96,116,11,63,18,197,27,676,5,4,3.875,3.9285714285714284,3,2.25,3.7142857142857144,5.75,3.4
331,fbg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,6,5,5,2,3,4,3,4,2,3,3,2,1,3,2,6,6,5,6,6,5,6,5,4,6,6,6,6,5,working_with_degree,social_sciences,67,not affected,5,5,5,4,3,6,6,4,6,6,5,5,4,5,5,13,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,vegan,19,30,31,59,26,NA,49,88,97,72,9,39,14,189,39,484,15,6,6,6,5.142857142857143,2.6666666666666665,5.571428571428571,4.75,4.8
333,fbg,5,6,5,5,5,5,6,5,6,6,6,6,5,6,5,5,4,5,4,5,4,4,3,2,3,4,3,4,4,4,2,2,3,6,6,6,6,6,3,6,1,6,6,4,6,6,6,university student,social_sciences,68,affected,3,4,3,3,5,5,6,4,6,4,1,2,3,3,2,4,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,not vegan,5,8,1,61,65,77,63,62,74,93,14,57,16,123,16,583,5,5.166666666666667,5.75,5.5,4.571428571428571,3.1666666666666665,5.285714285714286,3.25,2.2
334,fbg,4,5,5,5,4,4,4,4,4,5,3,3,4,4,5,4,4,6,2,6,5,1,2,4,1,4,3,2,4,1,1,2,1,2,6,6,5,6,4,6,6,6,6,6,5,6,6,university student,social_sciences,68,not affected,4,4,3,4,3,6,4,3,6,4,3,3,2,3,4,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,not vegan,34,17,20,42,29,NA,49,49,60,59,10,27,19,121,17,364,7,4.5,3.875,4.142857142857143,4.571428571428571,2.1666666666666665,5.428571428571429,3.75,3
341,fbg,6,6,5,5,5,6,4,4,5,5,6,6,5,6,5,4,5,5,6,4,6,1,1,2,3,3,2,2,1,1,1,3,2,6,6,6,6,6,2,6,6,6,4,6,6,6,5,university student,natural_sciences,69,affected,2,3,4,5,3,6,6,2,6,5,3,1,2,2,4,7,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,vegan,124,4,9,32,17,NA,27,33,54,74,10,35,8,99,10,299,6,5.5,5.125,5.285714285714286,5,1.8333333333333333,5.5,3.5,2.4
360,fbg,5,5,5,4,4,5,5,6,4,5,5,5,5,5,5,3,5,5,6,4,4,2,3,4,3,2,3,2,2,2,1,2,2,6,5,5,5,5,6,5,6,6,5,6,5,6,6,university student,social_sciences,71,affected,4,3,3,3,4,5,5,4,4,5,4,2,2,4,4,10,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,not vegan,33,7,18,47,24,NA,51,49,86,78,11,56,14,104,29,434,11,4.666666666666667,5,4.857142857142857,4.571428571428571,2.3333333333333335,5.5,3.25,3.2
362,fbg,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,3,5,3,6,5,5,1,5,5,2,1,3,4,3,4,3,1,2,6,6,6,6,6,3,6,6,6,5,6,6,6,6,university student,social_sciences,71,not affected,6,4,6,6,3,6,6,4,4,4,3,5,4,3,4,8,2,2,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,vegan,25,8,38,91,49,NA,87,88,92,73,16,33,18,164,24,585,9,3.8333333333333335,4,3.9285714285714284,4.571428571428571,2.8333333333333335,5.714285714285714,5.5,3.8
370,fbg,5,5,5,5,5,6,6,5,3,4,5,5,5,5,4,4,5,3,3,5,4,3,4,3,3,2,3,3,2,4,4,2,2,5,3,3,3,5,2,3,3,3,2,3,1,1,2,university student,social_sciences,72,not affected,5,4,5,5,3,5,5,3,5,3,5,2,3,4,4,5,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,not vegan,13,6,11,45,23,NA,48,48,70,200,11,35,9,110,13,500,5,5.166666666666667,4.75,4.928571428571429,4,2.9166666666666665,2.7857142857142856,4.75,3.6
371,fbg,4,3,5,2,1,4,5,6,3,5,6,6,6,4,4,1,4,3,4,6,5,1,1,3,2,2,2,2,1,1,1,1,2,6,6,6,6,5,6,6,6,6,5,4,5,5,6,working_with_degree,social_sciences,72,affected,6,6,6,6,3,6,6,1,6,6,5,5,5,5,5,12,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,not vegan,25,9,40,91,54,NA,136,135,137,135,10,130,26,178,87,894,8,3.1666666666666665,5.125,4.285714285714286,3.857142857142857,1.5833333333333333,5.571428571428571,6,5
381,fbg,3,3,3,3,3,3,4,4,4,4,3,3,4,4,2,2,3,1,1,4,2,4,4,4,4,4,4,5,3,5,5,4,4,3,2,3,5,3,1,4,3,2,2,3,1,4,4,university student,social_sciences,74,not affected,2,3,2,3,2,5,5,4,3,4,2,1,1,3,3,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,not vegan,65,5,19,55,27,NA,39,36,71,108,9,22,17,115,49,403,6,3,3.75,3.4285714285714284,2.142857142857143,4.166666666666667,2.857142857142857,2.5,2
382,fbg,6,6,5,6,5,4,5,5,4,6,6,5,6,5,5,3,5,3,4,5,4,1,2,3,2,2,3,3,3,3,1,2,2,6,6,6,6,6,5,6,6,6,6,5,5,6,6,university student,social_sciences,74,affected,4,3,3,4,3,5,5,3,5,4,3,3,3,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,not vegan,37,19,143,132,32,NA,53,41,101,71,11,59,13,120,44,656,13,5.333333333333333,5.25,5.285714285714286,4.142857142857143,2.25,5.785714285714286,3.5,3.2
384,zp,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,1,1,6,4,3,5,4,2,3,2,5,5,5,6,3,2,3,1,1,6,1,1,3,1,1,1,1,1,1,2,working_with_degree,life_sciences,75,affected,5,4,4,4,4,5,5,4,5,4,4,2,1,3,3,5,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,not vegan,22,11,25,59,14,NA,33,46,44,38,7,87,12,77,11,365,9,5,4.375,4.642857142857143,3.7142857142857144,3.75,1.7142857142857142,4.25,2.6
385,zp,2,5,2,5,2,2,2,1,5,1,1,5,4,2,2,1,1,1,1,1,2,1,1,1,1,1,2,6,1,5,5,5,2,2,3,2,6,4,1,2,3,2,1,1,3,1,6,working_with_degree,engineering_sciences,76,not affected,5,4,6,6,5,6,6,1,6,6,4,1,1,4,4,3,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,not vegan,3,6,8,66,39,10,53,38,51,64,16,25,18,116,5,388,6,3,2.625,2.7857142857142856,1.2857142857142858,2.5833333333333335,2.642857142857143,5.25,2.8
394,fbg,5,5,6,5,4,5,5,5,4,4,5,5,5,4,3,3,4,3,4,3,3,4,3,4,4,2,2,4,3,2,1,2,2,5,4,5,5,4,3,5,6,5,5,5,2,4,5,university student,life_sciences,78,affected,4,4,4,4,4,5,5,3,5,5,3,1,2,4,4,8,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,not vegan,142,11,27,42,19,NA,52,49,45,47,8,146,16,106,40,451,4,5,4.625,4.785714285714286,3.2857142857142856,2.75,4.5,4,2.8
403,zp,5,5,5,6,4,5,5,5,5,4,5,5,5,4,4,5,5,1,3,5,4,2,6,4,3,3,3,4,3,3,1,2,1,2,2,3,6,2,1,5,6,5,4,3,2,4,6,university student,humanities,79,not affected,4,4,5,4,4,6,5,4,5,3,2,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,not vegan,72,4,6,53,44,16,35,40,60,54,11,43,10,81,24,372,13,5,4.75,4.857142857142857,3.857142857142857,2.9166666666666665,3.642857142857143,4.25,1.8
404,zp,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,2,2,5,3,4,4,2,2,3,4,6,4,6,6,3,3,3,2,4,4,2,2,5,4,2,2,3,1,1,2,working_with_degree,other,80,not affected,6,6,2,5,3,5,6,2,6,4,5,1,4,3,3,6,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,not vegan,14,6,6,43,26,18,27,43,68,63,11,36,13,98,1,354,14,4,4,4,3.4285714285714284,3.9166666666666665,2.642857142857143,4.75,3.2
414,fbg,5,5,5,6,5,6,3,5,5,6,5,6,6,5,5,4,5,4,5,5,5,1,3,2,1,3,3,3,2,4,3,2,3,4,3,5,3,4,1,5,6,4,4,3,1,3,5,university student,social_sciences,82,not affected,5,5,6,5,5,6,6,4,5,6,3,2,3,4,4,9,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,not vegan,4,49,2,153,28,2,47,47,52,55,13,37,14,98,20,450,4,5.333333333333333,5.125,5.214285714285714,4.714285714285714,2.5,3.642857142857143,5.25,3.2
416,NA,6,6,5,4,5,5,6,6,4,4,6,6,6,6,6,3,5,6,6,6,6,5,1,5,3,1,4,2,3,1,1,1,2,6,6,6,6,6,5,5,1,6,6,6,6,6,6,university student,social_sciences,82,affected,3,3,2,2,2,4,5,4,4,3,5,3,4,4,4,8,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,vegan,32,6,20,43,28,NA,51,35,60,40,9,123,12,102,17,421,6,5.166666666666667,5.5,5.357142857142857,5.428571428571429,2.4166666666666665,5.5,2.5,4
421,vpp,6,6,5,4,4,5,5,4,3,2,5,5,5,5,4,2,3,4,5,2,5,3,2,3,3,5,3,2,2,2,2,4,4,5,5,3,6,5,3,3,6,5,4,6,1,4,1,working_with_degree,natural_sciences,84,affected,5,4,4,5,4,5,6,4,6,4,5,4,4,4,3,9,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,not vegan,111,15,22,65,27,NA,142,49,62,65,10,221,18,111,22,681,7,5,4.25,4.571428571428571,3.5714285714285716,2.9166666666666665,4.071428571428571,4.5,4
423,vpp,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,1,2,5,4,2,5,4,2,3,3,5,2,3,2,2,2,4,2,2,4,2,2,3,2,4,5,2,5,5,3,working_without_degree,NA,84,not affected,3,4,4,4,4,5,5,3,4,3,5,5,3,3,3,11,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,not vegan,20,14,5,71,31,NA,51,44,72,93,13,23,22,5561,39,425,14,4.166666666666667,4,4.071428571428571,3.7142857142857144,2.9166666666666665,3.2142857142857144,3.75,3.8
424,vpp,4,5,5,4,4,4,5,5,4,5,4,4,4,4,3,2,3,3,3,2,5,3,1,5,5,6,4,4,6,4,4,6,5,5,4,4,5,6,4,4,4,6,4,4,2,3,3,working_with_degree,natural_sciences,92,not affected,5,2,4,4,2,5,6,2,4,5,4,3,3,4,5,9,2,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,not vegan,1001,5,2,57,17,NA,87,55,57,63,9,145,13,112,31,505,5,4.333333333333333,4.375,4.357142857142857,3,4.416666666666667,4.142857142857143,3.75,3.8
426,vpp,5,5,6,6,5,5,5,5,5,5,5,6,5,5,6,3,6,3,5,6,4,2,2,2,2,1,2,2,2,1,1,1,2,6,6,6,6,6,5,6,6,6,6,6,6,6,6,working_with_degree,social_sciences,85,affected,5,5,5,5,3,5,6,5,5,5,4,2,3,3,3,5,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,not vegan,47,7,34,50,36,NA,93,115,167,73,19,106,29,228,16,722,8,5.333333333333333,5.125,5.214285714285714,4.714285714285714,1.6666666666666667,5.928571428571429,5,3
427,vpp,5,6,5,5,5,4,5,5,6,6,5,5,6,4,4,3,5,3,4,3,4,2,3,3,2,2,4,3,4,3,4,2,2,2,2,2,5,2,2,5,6,2,4,4,1,3,2,university student,social_sciences,85,not affected,4,3,3,3,4,4,5,4,4,4,2,2,2,3,2,6,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,not vegan,18,6,23,53,16,NA,33,39,65,59,11,82,9,80,14,390,5,5,5.25,5.142857142857143,3.7142857142857144,2.8333333333333335,3,3.25,2.2
428,vpp,6,6,6,6,6,6,6,6,6,4,4,6,6,6,5,5,6,6,4,6,6,1,4,3,1,1,1,3,3,1,1,3,2,6,4,4,4,1,1,6,6,3,3,4,1,1,3,working_with_degree,engineering_sciences,86,affected,4,6,4,6,4,6,6,3,6,6,4,4,4,3,4,12,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,not vegan,12,6,1,55,21,NA,25,35,73,72,9,20,12,87,16,323,9,6,5.5,5.714285714285714,5.428571428571429,2,3.357142857142857,5,3.8
